source,text,date
play_store,awesome price and good quality,2026-08-28
play_store,very trusted app...,2026-08-28
play_store,best quality product 😉,2026-08-28
play_store,"The watch looked great initially, but within 4 to 5 days, it started losing time due to a faulty battery. To make matters worse, the black color coating has already started peeling off. Unfortunately, by the time these issues appeared, the return window had closed. Very disappointing and poor quality product. Waste of money.",2026-08-28
play_store,one of the best app,2026-08-28
play_store,Quality is very good service of Myntra is also good,2026-08-28
play_store,excellent product quality,2026-08-28
play_store,best app for fashion,2026-08-28
play_store,delivery delayed,2026-08-28
play_store,every product has perfect quality,2026-08-28
play_store,It is a very good app for shopping,2026-08-28
play_store,very helpful app,2026-08-28
play_store,very gorgeous saree,2026-08-28
play_store,love this shopping 🛍 app,2026-08-28
play_store,good delivers geniune product.,2026-08-28
play_store,product quality is so nice.,2026-08-28
play_store,better than flipkart and amazon,2026-08-28
play_store,all products are beautiful and comfortable.,2026-08-28
play_store,totally fraud platform i ordered for a dress they s3nd a totally different product and then refused to return. saying we delivered the product you ordered. totally fraud,2026-08-28
play_store,Quality clothes,2026-08-28
play_store,This is good app for online shopping this app shows original brand,2026-08-28
play_store,Prompt delivery and excellent quality of products,2026-08-28
play_store,myntra Sent me used & different colour shirts and I raised return than decline return request myntra is now doing a fraud like a fraud apps in social media platforms,2026-08-28
play_store,Irresponsible platform with useless AI customer service. Delayed shipment and no responsibility of it taken by them.No human support which could understand your issue. There is always a risk of lossing your item and they no way take responsibility.,2026-08-28
play_store,best shopping aapp,2026-08-28
play_store,I never have seen this type of delivery ever I dint receiving even my order at time later it going to be Canceled I'm not suppose to take this,2026-08-28
play_store,very bad services,2026-08-28
play_store,comfortable breathable 🤌,2026-08-28
play_store,good ap products are good,2026-08-28
play_store,not for time delivery bat app use 10 ⭐️above Given 1⭐️,2026-08-28
play_store,Exceptionally good,2026-08-28
play_store,very good app to use,2026-08-28
play_store,good nice product,2026-08-28
play_store,ossome purchaing exprince,2026-08-28
play_store,"“I had a great experience using Myntra. The app is easy to use, the products have a good variety, and the overall shopping experience is smooth and convenient. Highly recommended!”",2026-08-28
play_store,over price on this app,2026-08-28
play_store,fashion guys worth this app,2026-08-28
play_store,one of the finest e commerce for clothing and electronics gadgets,2026-08-28
play_store,Good experience,2026-08-28
play_store,very good experience. always get the best quality of clothes.,2026-08-28
play_store,very good nice product quality very nice,2026-08-28
play_store,very good 👍👍👍👍👍👍,2026-08-28
play_store,"Very disappointed with the return process. I requested a return over a week ago, and the expected pickup date has already passed with no update. No one has come to collect the item, and my refund is still stuck because of this delay. Such slow and unresponsive service makes it hard to trust shopping here again. Please fix this and process my return/refund immediately.",2026-08-28
play_store,I love myntra because I received good product like showing on the app,2026-08-28
